ID,Date,Lake,Ecotype,Lake_type,Trial_end_time,Treatment,Stage,Fanning_time,Nest_time,Fan_prop,Latency_return,Brain,Time_in_PFA_or_RNALater,Mass,SL,Bodycondition,Nest_depth,Percent_cover,Embryos_stage,Embryos_score
CL-7,6/17/24,Crystal,Limnetic,Pike,1156,Char,Baseline,15.348,132.609,0.115738751,NA,IHC,1257,1.17,45.7,1.225849803,0.68,0.56,No eyes,2
CL-8,6/17/24,Crystal,Limnetic,Pike,1204,Pike,Baseline,5.691,65.616,0.086731895,NA,IHC,1308,2.25,48.8,1.936078901,0.72,0.38,No eyes,2
CL-9,6/17/24,Crystal,Limnetic,Pike,1216,Trout,Baseline,136.569,160.91,0.848729103,NA,IHC,1319,2.25,49.9,1.810843344,0.73,0.06,Eyes,3
SR-20,6/18/24,South Rolly,Limnetic,Pike,1213,Char,Baseline,94.485,136.128,0.694089386,NA,RNA,1313,0.89,43.5,1.081240328,0.41,0.38,No eyes,2
SR-21,6/18/24,South Rolly,Limnetic,Pike,1226,Pike,Baseline,54.612,71.196,0.767065565,NA,RNA,1327,0.95,45.5,1.008531379,0.52,0,Eyes,3
SR-22,6/18/24,South Rolly,Limnetic,Pike,1236,Trout,Baseline,102.541,133.597,0.76753969,NA,RNA,1334,0.98,43.4,1.198828026,0.42,0.13,No eyes,2
SR-05,5/24/24,South Rolly,Limnetic,Pike,1325,Trout,Predator,0,35.129,0,32.853,IHC,1430,NA,NA,#VALUE!,0.38,0,No eyes,2
SR-07,5/24/24,South Rolly,Limnetic,Pike,1504,Char,Predator,0,7.422,0,45,IHC,1606,NA,NA,#VALUE!,0.45,0.13,No eyes,2
SR-08,5/25/24,South Rolly,Limnetic,Pike,1130,Pike,Predator,0,2.519,0,37.494,IHC,1239,0.97,45.05,1.06093151,0.58,0.13,None,1
SR-15,5/25/24,South Rolly,Limnetic,Pike,1145,Trout,Predator,92.146,137.433,0.670479434,16.454,IHC,1256,1.16,47.79,1.062788625,0.51,0.06,No eyes,2
SR-50,5/25/24,South Rolly,Limnetic,Pike,1317,Char,Predator,36.58,151.884,0.240841695,10.501,IHC,1420,1.38,47.11,1.319896185,0.5,0.56,None,1
SR-51,5/25/24,South Rolly,Limnetic,Pike,1344,Char,Predator,0,15.859,0,18.612,RNA,1447,1.56,52.21,1.096133671,0.38,1,None,1
SR-52,5/25/24,South Rolly,Limnetic,Pike,1406,Trout,Predator,50.542,119.699,0.422242458,22.854,RNA,1510,1.1,46.71,1.079351957,0.52,0,NA,NA
SR-10,5/27/24,South Rolly,Limnetic,Pike,1149,Pike,Predator,97.758,139.459,0.700980216,17.263,RNA,1251,1.06,55.9,0.606834749,0.5,0,NA,NA
SP-01,5/30/24,Spirit,Limnetic,No Pike,1138,Pike,Predator,18.769,97.977,0.191565367,4.75,IHC,1245,1.16,40.67,1.724389906,0.48,0,No eyes,2
SP-50,5/30/24,Spirit,Limnetic,No Pike,1149,Trout,Predator,12.183,36.75,0.331510204,10.501,IHC,1301,0.89,42.31,1.175062402,0.71,0.13,None,1
SP-02,5/30/24,Spirit,Limnetic,No Pike,1200,Char,Predator,16.017,128.854,0.124303475,13.277,IHC,1306,1.37,48.71,1.185403427,0.62,0.5,No eyes,2
SP-03,5/30/24,Spirit,Limnetic,No Pike,1213,Trout,Predator,0,72.593,0,107.012,IHC,1327,0.86,43.25,1.06301677,0.64,0.25,None,1
SP-51,5/30/24,Spirit,Limnetic,No Pike,1225,Pike,Predator,35.382,48.267,0.733047424,58.001,IHC,1335,0.95,45.54,1.005876186,0.68,0.5,No eyes,2
SP-52,5/30/24,Spirit,Limnetic,No Pike,1454,Char,Predator,33.033,77.758,0.424818025,30.526,IHC,1630,1.87,52.03,1.327639389,0.79,0.25,No eyes,2
SP-06,5/31/24,Spirit,Limnetic,No Pike,1154,Trout,Predator,48.68,152.298,0.319636502,4.274,RNA,1300,1.19,49.9,0.957734924,0.36,0.25,None,1
SP-61,6/2/24,Spirit,Limnetic,No Pike,1130,Char,Predator,52.663,74.316,0.708636095,19.249,RNA,1243,1.68,54.4,1.043548367,0.69,0.81,None,1
SP-62,6/2/24,Spirit,Limnetic,No Pike,1140,Pike,Predator,0,92.265,0,2.934,RNA,1258,1.33,50.4,1.038867193,0.89,0.63,No eyes,2
WT-1,6/4/24,Watson,Benthic,No Pike,1316,Pike,Predator,30.471,31.978,0.952873851,21,RNA,1417,1.21,47.66,1.117694867,0.5,0.44,None,1
WT-2,6/4/24,Watson,Benthic,No Pike,1325,Char,Predator,99.604,112.684,0.883923183,1.647,RNA,1428,1.49,46.7,1.462970695,0.56,0.25,No eyes,2
WT-3,6/4/24,Watson,Benthic,No Pike,1354,Trout,Predator,29.869,90.314,0.330723919,15.499,RNA,1454,1.53,44.7,1.713045354,0.61,0.19,None,1
WT-4,6/6/24,Watson,Benthic,No Pike,1213,Trout,Predator,0,10.506,0,8.094,IHC,1319,0.78,42.6,1.008941081,0.51,0.13,None,1
WT-5,6/6/24,Watson,Benthic,No Pike,1229,Pike,Predator,28.25,91.082,0.310160076,40.997,IHC,1333,0.92,45.3,0.989676416,0.45,0.38,No eyes,2
WT-6,6/6/24,Watson,Benthic,No Pike,1241,Char,Predator,15.357,99.438,0.154437941,31.523,IHC,1343,1.39,46.29,1.401371426,0.48,0.13,None,1
WT-7,6/6/24,Watson,Benthic,No Pike,1256,Trout,Predator,103.678,109.837,0.943925999,50.249,NA,NA,1.83,42.7,2.350539018,0.52,0.25,No eyes,2
WT-8,6/6/24,Watson,Benthic,No Pike,NA,Pike,Predator,0,0,0,50.987,NA,NA,1.33,47.6,1.233192239,0.58,0.25,None,1
WT-10,6/7/24,Watson,Benthic,No Pike,1310,Pike,Predator,0,0,0,4.249,IHC,1413,1.05,41.5,1.46907852,0.48,0.19,Mixed,5
WT-13,6/7/24,Watson,Benthic,No Pike,NA,Trout,Predator,110.932,121.033,0.916543422,15.046,NA,NA,1.12,46.7,1.09968267,0.67,0.13,Mixed,5
HL-1,6/8/24,Hope,Limnetic,No Pike,1100,Trout,Predator,38.818,61.445,0.631751973,12.449,RNA,1210,1.4,44.5,1.588722341,0.61,0.13,Eyes,3
HL-2,6/8/24,Hope,Limnetic,No Pike,1103,Pike,Predator,120.094,133.904,0.896866412,15.749,RNA,1223,0.91,42.9,1.152575851,0.93,0.25,None,1
HL-3,6/8/24,Hope,Limnetic,No Pike,1118,Char,Predator,1.674,13.828,0.121058721,9.555,RNA,1234,1.32,43.2,1.637278997,0.91,0.19,Eyes,3
HL-4,6/9/24,Hope,Limnetic,No Pike,1101,Char,Predator,35.291,77.153,0.457415784,19.999,IHC,1205,1.35,50,1.08,0.63,0.31,Eyes,3
HL-5,6/9/24,Hope,Limnetic,No Pike,1105,Trout,Predator,50.847,88.216,0.576392038,20.252,IHC,1216,0.89,42.5,1.159373092,0.96,0.13,No eyes,2
HL-6,6/9/24,Hope,Limnetic,No Pike,1115,Pike,Predator,73.817,81.163,0.909490778,33.673,IHC,1224,1.09,42,1.47122341,0.9,0.19,No eyes,2
HL-7,6/10/24,Hope,Limnetic,No Pike,1056,Pike,Predator,94.345,117.235,0.804751141,2.501,IHC,1157,0.85,41.2,1.215422516,0.98,0.5,Eyes,3
HL-8,6/10/24,Hope,Limnetic,No Pike,1059,Char,Predator,51.826,60.209,0.860768324,12.525,IHC,1203,1.01,48.4,0.890810421,0.82,0.56,None,1
HL-9,6/10/24,Hope,Limnetic,No Pike,1113,Trout,Predator,27.57,44.764,0.615896703,7.769,IHC,1212,0.67,38.2,1.201945329,1.13,0.31,None,1
FG-1,6/14/24,Finger,Benthic,Pike,1129,Char,Predator,23.708,25.5,0.92972549,1.752,IHC,1251,1.41,47.4,1.323988118,0.51,1,Fry,4
FG-2,6/14/24,Finger,Benthic,Pike,1145,Pike,Predator,50.329,66.856,0.752797056,1.011,IHC,1304,1.21,45.5,1.284550494,0.53,0.69,Fry,4
FG-3,6/14/24,Finger,Benthic,Pike,1222,Trout,Predator,131.618,152.274,0.864349791,0.918,IHC,1327,1.14,45.7,1.194417757,0.7,0.81,Eyes,3
FG-5,6/14/24,Finger,Benthic,Pike,1412,Char,Predator,42.72,59.285,0.720586995,5.501,RNA,1516,1.69,52.5,1.167908433,0.52,0.75,Fry,4
FG-6,6/14/24,Finger,Benthic,Pike,1426,Pike,Predator,75.052,91.803,0.817533196,3.498,RNA,1526,1.39,48.3,1.233597294,0.52,0.5,Eyes,3
FG-10,6/15/24,Finger,Benthic,Pike,1228,Trout,Predator,86.047,102.117,0.842631491,0.751,RNA,1342,2.08,53.1,1.389247973,0.45,0.94,No eyes,2
FG-7,6/15/24,Finger,Benthic,Pike,1146,Trout,Predator,111.094,200.085,0.555234026,1.013,IHC,1254,1.2,43.8,1.428100971,0.58,0.5,Mixed,5
FG-8,6/15/24,Finger,Benthic,Pike,1157,Char,Predator,98.016,123.141,0.7959656,0.499,IHC,1310,0.97,41.9,1.318650383,0.43,0.75,Eyes,3
FG-9,6/15/24,Finger,Benthic,Pike,1216,Pike,Predator,118.124,145.274,0.813111775,0.251,IHC,1325,1.69,51,1.274019796,0.43,0.56,Eyes,3
CL-1,6/16/24,Crystal,Limnetic,Pike,1210,Pike,Predator,5.748,16.754,0.343082249,79.494,IHC,1310,1.47,47,1.415871242,0.63,0.06,None,1
CL-2,6/16/24,Crystal,Limnetic,Pike,1224,Char,Predator,39.327,42.772,0.919456654,12.654,IHC,1326,1.26,48.2,1.125199241,0.71,0.31,Fry,4
CL-3,6/16/24,Crystal,Limnetic,Pike,1237,Trout,Predator,86.245,103.182,0.835853153,14.518,IHC,1340,1.37,48.7,1.186133805,0.69,0.44,Mixed,5
CL-4,6/16/24,Crystal,Limnetic,Pike,1408,Trout,Predator,80.73,94.349,0.855652948,11.745,RNA,NA,1.87,53.9,1.194195172,0.63,0.31,Eyes,3
CL-5,6/16/24,Crystal,Limnetic,Pike,1424,Pike,Predator,51.274,67.669,0.757717714,7.494,RNA,1528,2.35,62.3,0.971860033,0.63,0.25,Mixed,5
CL-6,6/16/24,Crystal,Limnetic,Pike,1441,Char,Predator,16.607,65.926,0.25190365,10.752,RNA,1542,1.33,48.9,1.137431008,0.67,0.38,No eyes,2
CL-10,6/17/24,Crystal,Limnetic,Pike,1234,Trout,Predator,23.41,98.737,0.237094504,15.495,RNA,1335,1.62,49.9,1.303807208,0.69,0.31,No eyes,2
CL-7,6/17/24,Crystal,Limnetic,Pike,1156,Char,Predator,11.671,94.887,0.122998936,3.75,IHC,1257,1.17,45.7,1.225849803,0.68,0.56,No eyes,2
CL-8,6/17/24,Crystal,Limnetic,Pike,1204,Pike,Predator,42.436,118.049,0.359477844,17.998,IHC,1308,2.25,48.8,1.936078901,0.72,0.38,No eyes,2
CL-9,6/17/24,Crystal,Limnetic,Pike,1216,Trout,Predator,118.839,134.839,0.881339968,7.759,IHC,1319,2.25,49.9,1.810843344,0.73,0.06,Eyes,3
SR-20,6/18/24,South Rolly,Limnetic,Pike,1213,Char,Predator,92.221,113.286,0.814054693,17.547,RNA,1313,0.89,43.5,1.081240328,0.41,0.38,No eyes,2
SR-21,6/18/24,South Rolly,Limnetic,Pike,1226,Pike,Predator,61.928,93.918,0.659383718,64.998,RNA,1327,0.95,45.5,1.008531379,0.52,0,Eyes,3
SR-22,6/18/24,South Rolly,Limnetic,Pike,1236,Trout,Predator,23.904,120.92,0.197684419,3.999,RNA,1334,0.98,43.4,1.198828026,0.42,0.13,No eyes,2
